parent_sku,sku
LR-ACTLYM-CG-1,LR-88346
LR-ACTLYM-CG-1,LR-88350
LR-ACTLYM-CG-1,LR-88345
LR-ACTLYM-CG-1,LR-88349
LR-ACTLYM-CG-1,LR-88344
LR-ACTLYM-CG-1,LR-88348
LR-ACTLYM-CG-1,LR-88343
LR-ACTLYM-CG-1,LR-88347
LR-ACTLYM-CG-1,LR-88342
LR-ACTLYM-CG-1,LR-88341
LR-ACTLYM-CG-1,LR-88340
LR-ACTLYM-CG-1,LR-88339
